X Gaze Data, Y Gaze Data, Time 
852,529,866498054
850,533,866498067
848,536,866498075
848,536,866498087
845,536,866498113
837,538,866498121
836,538,866498131
836,538,866498145
835,535,866498154
832,532,866498164
831,531,866498177
832,531,866498187
832,532,866498198
831,531,866498209
830,533,866498221
829,533,866498231
831,537,866498256
832,538,866498264
831,537,866498275
831,538,866498302
829,539,866498308
829,539,866498321
829,538,866498332
832,538,866498342
849,534,866498354
852,534,866498378
857,530,866498387
857,530,866498397
858,530,866498409
858,532,866498420
859,532,866498431
858,532,866498456
859,537,866498464
859,538,866498475
859,538,866498502
859,538,866498508
859,539,866498520
861,539,866498533
862,540,866498542
864,540,866498554
865,539,866498580
866,539,866498587
875,537,866498612
881,538,866498620
884,538,866498630
885,540,866498643
886,544,866498654
886,544,866498664
886,544,866498690
885,542,866498697
884,542,866498708
884,541,866498722
884,544,866498731
884,544,866498741
884,543,866498768
888,536,866498775
889,538,866498787
889,538,866498800
889,538,866498808
888,538,866498820
888,537,866498832
887,537,866498841
886,537,866498853
886,539,866498864
887,542,866498875
887,542,866498887
887,541,866498911
913,542,866498920
914,542,866498931
917,539,866498943
918,539,866498953
919,539,866498964
922,537,866498989
920,536,866498997
919,536,866499008
919,536,866499021
920,535,866499031
919,536,866499041
921,536,866499067
994,525,866499074
982,527,866499086
992,526,866499098
1002,525,866499108
1018,522,866499120
1027,522,866499145
1059,517,866499153
1066,513,866499164
1074,511,866499177
1070,511,866499186
1070,510,866499197
1069,511,866499223
1072,514,866499230
1073,514,866499241
1073,515,866499253
1075,515,866499268
1076,515,866499274
1079,517,866499286
1082,517,866499299
1087,516,866499308
1090,516,866499320
1090,516,866499345
1090,516,866499353
1095,515,866499363
1099,513,866499376
1101,509,866499386
1101,509,866499397
1100,508,866499407
1098,509,866499423
1099,508,866499430
1099,508,866499441
1099,508,866499454
1097,507,866499463
1097,508,866499474
1095,508,866499500
1098,508,866499507
1097,508,866499519
1096,507,866499532
1096,507,866499541
1096,507,866499553
1097,506,866499564
1097,507,866499574
1097,509,866499586
1096,508,866499610
1078,509,866499619
1066,509,866499630
1056,509,866499641
1050,508,866499653
1043,508,866499663
1036,507,866499688
1019,503,866499697
995,500,866499707
995,503,866499734
995,502,866499741
995,504,866499753
995,505,866499766
993,505,866499774
988,505,866499786
989,507,866499797
991,509,866499807
995,510,866499819
995,509,866499843
997,514,866499852
997,514,866499863
996,514,866499889
997,516,866499896
997,516,866499907
996,517,866499921
996,519,866499930
999,518,866499940
998,520,866499952
1015,518,866499967
1022,517,866499974
1051,515,866499986
1066,519,866499998
1067,519,866500007
1074,516,866500019
1075,519,866500030
1079,521,866500041
1079,521,866500052
1080,525,866500078
1083,529,866500086
1084,529,866500096
1084,529,866500110
1080,516,866500119
1079,515,866500129
1079,515,866500142
1081,520,866500152
1083,521,866500163
1083,521,866500174
1082,518,866500185
1082,519,866500194
1146,606,866500206
1056,539,866500347
1056,528,866500355
1057,523,866500366
1058,521,866500377
1058,525,866500389
1054,532,866500399
1053,533,866500425
1054,538,866500432
1054,538,866500443
1055,538,866500456
1054,539,866500466
1054,541,866500476
1054,541,866500503
1055,542,866500509
1055,542,866500522
1054,541,866500535
1054,541,866500543
1054,540,866500555
1055,549,866500566
1055,549,866500581
1056,549,866500589
1057,546,866500599
1057,546,866500611
1056,545,866500622
1055,547,866500632
1055,547,866500643
1054,545,866500659
1053,543,866500666
1054,542,866500676
1054,544,866500689
1053,542,866500704
1053,542,866500709
1053,542,866500722
1056,539,866500735
1056,539,866500742
1056,539,866500755
1057,537,866500767
1057,536,866500776
1056,535,866500788
1054,533,866500815
1052,532,866500822
1057,529,866500847
1059,528,866500855
1059,528,866500866
1058,527,866500877
1058,527,866500888
1057,527,866500899
1057,527,866500910
1054,527,866500923
1053,529,866500932
1053,531,866500942
1053,531,866500969
1056,537,866500976
1058,539,866500988
1058,539,866501000
1055,535,866501010
1058,537,866501021
1056,537,866501032
1044,532,866501048
1020,522,866501055
1004,516,866501080
991,507,866501088
986,504,866501099
983,503,866501112
982,506,866501121
980,504,866501132
980,504,866501158
983,505,866501165
983,506,866501190
984,512,866501199
984,512,866501209
981,512,866501221
982,512,866501236
982,513,866501242
982,513,866501255
978,516,866501267
978,516,866501275
978,515,866501288
978,513,866501314
980,511,866501321
980,515,866501332
980,516,866501342
981,513,866501355
982,508,866501365
982,508,866501375
983,508,866501391
984,509,866501398
985,509,866501409
989,514,866501421
987,516,866501432
985,515,866501443
986,516,866501455
990,512,866501468
990,513,866501475
990,513,866501488
990,514,866501499
990,515,866501509
989,514,866501521
989,513,866501546
990,513,866501554
990,515,866501565
990,515,866501578
990,516,866501588
989,514,866501598
989,514,866501610
989,514,866501621
989,512,866501632
992,510,866501656
1045,504,866501665
1054,503,866501675
1067,502,866501688
1082,501,866501703
1089,500,866501708
1118,499,866501721
1122,499,866501734
1125,500,866501742
1126,500,866501754
1125,500,866501765
1126,501,866501781
1129,501,866501788
1128,513,866501813
1127,516,866501821
1127,514,866501832
1127,514,866501844
1129,513,866501854
1130,513,866501865
1131,513,866501875
1140,508,866501890
1140,507,866501898
1237,451,866501908
1332,394,866501936
1567,249,866501942
1605,226,866501954
1645,203,866501967
1665,191,866501975
1670,186,866501987
1671,184,866501998
1674,181,866502008
1672,183,866502021
1675,182,866502031
1675,182,866502045
1674,182,866502054
1679,179,866502065
1680,179,866502076
1680,179,866502088
1677,180,866502098
1676,180,866502123
1656,160,866502131
1634,142,866502142
1596,116,866502170
1589,115,866502175
1580,117,866502187
1576,118,866502201
1575,118,866502209
1571,119,866502221
1571,119,866502231
1566,123,866502247
1564,123,866502254
1560,123,866502279
1556,122,866502287
1555,122,866502298
1555,122,866502309
1554,123,866502321
1554,123,866502331
1554,122,866502342
1554,123,866502356
1553,123,866502365
1551,126,866502375
1547,131,866502403
1539,137,866502409
1538,139,866502420
1537,141,866502433
1537,143,866502442
1535,144,866502454
1535,147,866502479
1535,147,866502487
1533,150,866502498
1531,154,866502510
1530,154,866502521
1530,155,866502531
1530,155,866502556
1531,160,866502565
1531,162,866502575
1531,163,866502587
1531,170,866502597
1515,194,866502608
1512,199,866502634
1480,277,866502641
1152,786,866502718
1188,739,866502729
1143,787,866502741
1067,685,866502753
1044,655,866502763
1012,607,866502775
994,588,866502787
983,584,866502796
976,582,866502807
973,579,866502833
969,574,866502840
961,580,866502853
960,584,866502865
961,583,866502875
964,580,866502886
964,580,866502897
966,578,866502907
969,587,866502918
973,589,866502945
973,583,866502953
971,580,866502963
969,577,866502975
963,580,866502985
962,580,866502995
955,581,866503022
953,577,866503030
946,574,866503041
935,574,866503067
932,576,866503074
930,578,866503098
932,580,866503107
931,588,866503118
940,586,866503145
959,600,866503152
962,602,866503163
968,596,866503175
981,589,866503185
982,588,866503196
986,586,866503222
1000,578,866503230
1003,578,866503241
1005,576,866503253
1015,569,866503263
1016,566,866503274
1015,565,866503285
1013,563,866503298
1010,562,866503307
1009,561,866503319
1009,553,866503330
1009,552,866503341
1008,554,866503353
1005,557,866503377
984,565,866503384
970,567,866503395
968,567,866503423
947,569,866503430
946,569,866503441
931,570,866503454
930,569,866503463
929,569,866503475
929,571,866503500
930,579,866503508
931,587,866503518
931,587,866503531
946,590,866503644
923,589,866503655
927,593,866503669
931,596,866503678
935,590,866503690
935,589,866503715
933,589,866503722
942,602,866503732
956,629,866503746
842,604,866503824
853,602,866503833
851,599,866503844
851,592,866503870
844,565,866503878
843,552,866503890
842,548,866503901
843,549,866503912
845,546,866503923
848,540,866503933
848,537,866503947
848,534,866503956
846,533,866503967
846,532,866503978
847,531,866503994
847,526,866504000
848,525,866504025
849,525,866504033
848,523,866504045
850,524,866504056
850,522,866504066
850,521,866504078
850,520,866504089
852,518,866504103
852,518,866504111
851,518,866504123
852,517,866504134
852,517,866504145
852,516,866504156
845,515,866504180
799,510,866504189
801,510,866504200
800,510,866504211
802,513,866504227
798,513,866504233
791,513,866504245
790,509,866504257
794,511,866504267
794,510,866504278
795,512,866504289
795,512,866504306
793,514,866504311
788,527,866504322
784,545,866504331
726,520,866504410
762,500,866504422
794,538,866504433
804,543,866504446
811,531,866504456
814,519,866504467
816,515,866504478
816,513,866504494
817,510,866504500
817,507,866504511
818,507,866504524
821,509,866504533
823,505,866504544
822,502,866504556
819,504,866504572
816,506,866504577
